ID;Geologia;Crollo;Cord_X;Cord_Y;Quote;Aspect;Slope;Nord;East;PlanarC;ProfileC;TWI;WD;NGSS;FT;EWI
1;3;1;379357.595;5055031.654;2863.68;14.694;34.335;0.967;-0.442;0.858;1.2;1.455;180.944;94.444;60.222;14.778
2;4;1;382353.927;5057241.265;1862.02;39.315;18.425;0.774;-0.182;-0.362;0.246;2.711;171.944;92.833;49.556;15.5
3;3;1;370081.894;5059385.223;2358.22;40.763;26.378;0.757;-0.386;-1.013;1.339;2.595;147.944;75.944;48.333;14.778
4;3;1;370103.007;5059774.054;2253.82;350.74;18.473;0.987;0.366;-0.928;0.439;2.761;147.944;75.944;48.778;14.778
5;4;1;373853.529;5059800.353;3289.32;182.636;34.635;-0.999;0.234;-1.389;-0.581;2.149;155.611;79.667;77.5;14
6;3;1;370104.995;5060977.389;2099.19;264.496;40.629;-0.096;0.243;-1.606;2.385;2.7;149.611;73.944;46.222;14.944
7;1;1;379632.069;5062079.856;1609.69;267.197;46.689;-0.049;0.016;0.372;-1.206;1.843;206.056;83.722;48;14.5
8;1;1;382759.886;5061957.819;1443.03;110.621;42.825;-0.352;-0.75;-0.976;-0.171;3.325;179.444;74.833;45.167;15
9;3;1;366891.698;5061962.899;1393.78;67.994;25.561;0.375;-0.199;-0.135;0.097;3.487;182.5;74.278;45.889;15.5
10;1;1;383759.193;5062054.003;1613.95;262.513;41.812;-0.130;0.029;1.187;-1.031;1.567;178.333;79.611;49.222;14.889
11;1;1;383885.65;5062039.317;1687.96;245.857;34.468;-0.409;-0.001;2.085;0.115;0.636;178.333;79.611;49.722;14.889
12;3;1;367453.285;5062013.147;1281.86;283.424;65.083;0.232;0.229;-2.831;2.867;1.064;178;74.833;43.778;15.222
13;1;1;373722.885;5062324.242;2118.01;285.006;54.393;0.259;-0.608;-2.118;2.319;2.751;168.278;74.333;48;14.278
14;1;1;378995.956;5062382.734;1536.9;83.474;52.215;0.114;-0.278;-0.051;-1.648;2.392;206.056;83.722;46.167;14.5
15;3;1;367104.561;5062538.465;1194.07;43.498;35.56;0.725;0.735;0.742;-1.103;2.036;182.5;74.278;40.722;15.5
16;1;1;378950.898;5063061.42;1294.34;81.326;40.312;0.151;0.339;0.152;3.212;2.671;223.111;80.444;44.611;14.5
17;3;1;371836.589;5063359.374;1211.54;73.147;45.426;0.290;-0.694;3.17;-1.826;0.241;142.278;67.667;46.556;15.111
18;1;1;378988.969;5063486.339;1126.2;92.509;41.848;-0.044;0.099;4.421;-1.275;0.219;223.111;80.444;42.889;14.5
19;3;1;371805.055;5063687.543;1148.18;272.395;42.9;0.042;-0.525;-0.145;-0.227;2.558;142.278;67.667;46.5;15.111
20;1;1;378794.615;5063939.351;974.234;289.788;32.585;0.339;-0.353;-4.238;0.473;7.196;223.111;80.444;41.056;14.5
21;4;1;378746.451;5064441.569;948.261;79.481;62.7;0.183;-0.566;0.402;19.921;0.079;241.611;71.611;41.833;14.444
22;1;1;375832.036;5064231.258;1022.72;63.736;49.012;0.443;-0.102;1.656;-0.843;1.169;213.944;74.5;38.833;14.5
23;1;1;372264.985;5064896.095;728.901;355.911;47.645;0.997;-0.199;-1.358;-4.348;3.966;123.444;56.111;35.611;13.833
24;1;1;375882.768;5064847.589;842.628;91.156;45.522;-0.020;-0.477;3.623;-3.633;0.408;213.111;68;35.389;15.056
25;2;1;376196.49;5065595.874;640.763;356.032;44.414;0.998;-0.117;0.074;4.392;1.204;213.111;68;29.167;15.056
26;1;1;380798.941;5065961.364;520.504;333.815;44.028;0.897;0.643;-0.343;3.942;1.758;191.056;70.222;25.889;14.667
27;3;1;391420.201;5065960.915;609.371;314.047;32.67;0.695;0.722;0.384;1.044;2.397;116.167;57.444;21.167;13.167
28;1;1;393035.679;5066115.092;599.634;67.965;37.411;0.375;0.427;0.47;-0.88;1.724;133.611;61.944;20.389;13.778
29;3;1;397538;5066198;1142.9;250.772;12.952;-0.329;0.243;-0.458;-0.021;5.603;176.111;74.556;31.667;16
30;1;1;396226.787;5066495.426;742.418;207.481;44.908;-0.887;0.626;-0.136;-2.551;1.222;141.5;69.222;24.611;15.167
31;3;1;388502.218;5066606.41;481.655;353.471;48.921;0.994;0.008;3.183;-0.832;0.421;116.222;58.389;19.444;14.389
32;3;1;379940.46;5066821.078;667.967;166.812;42.662;-0.974;-0.779;-0.295;-0.927;1.85;222.722;66.889;29.667;14.944
33;1;1;379767.788;5066834.041;689.444;206.816;47.889;-0.892;0.719;1.089;-4.328;1.907;222.722;66.889;30.667;14.944
34;2;1;376825.013;5066909.739;633.935;156.898;28.783;-0.920;0.168;2.613;-0.599;0.809;215;66.611;30.722;14.444
35;3;1;387313.342;5066951.074;524.466;174.878;34.039;-0.996;0.051;1.243;-0.824;2.893;137.444;63.444;18.778;14.333
36;1;1;391127.232;5066904.577;519.5;213.985;13.081;-0.829;0.594;-0.065;-0.316;2.492;116.167;57.444;18.278;13.167
37;1;1;388727.233;5067054.007;499.147;145.995;44.826;-0.829;0.142;0.657;2.016;2.665;116.222;58.389;19.778;14.389
38;1;1;389119.973;5067201.737;571.142;189.221;50.439;-0.987;0.371;-1.452;3.909;2.013;81.167;41;17.667;11.333
39;1;1;391071.306;5067210.598;560.435;184.116;30.799;-0.997;-0.189;2.527;-2.477;0.617;127.167;59.833;18.278;13.389
